sheet_name,sheet_category,data_item,available
0 Data item Availability,Data item Availability,2021 Census - List of Data Items by Database by Availability,No
0 Data item Availability,Data item Availability,"ADCP Australian Defence Force Service, detailed",Yes
0 Data item Availability,Data item Availability,ADFP Australian Defence Force Service,Yes
0 Data item Availability,Data item Availability,AGE10P Age in Ten Year Groups,Yes
0 Data item Availability,Data item Availability,AGE5P Age in Five Year Groups,Yes
0 Data item Availability,Data item Availability,AGEP Age,Yes
0 Data item Availability,Data item Availability,ANC1P Ancestry 1st Response,Yes
0 Data item Availability,Data item Availability,ANC2P Ancestry 2nd Response,Yes
0 Data item Availability,Data item Availability,ANCP Ancestry Multi Response,Yes
0 Data item Availability,Data item Availability,ANCRP Ancestry One or Two Response Indicator,Yes
0 Data item Availability,Data item Availability,ASSNP Core Activity Need for Assistance,Yes
0 Data item Availability,Data item Availability,Aboriginal and Torres Strait Islander Peoples,No
0 Data item Availability,Data item Availability,Age and Sex,No
0 Data item Availability,Data item Availability,Aged Care Planning Regions (EN),No
0 Data item Availability,Data item Availability,Aged Care Planning Regions (UR),No
0 Data item Availability,Data item Availability,Australia (EN),Yes
0 Data item Availability,Data item Availability,Australia (POW),No
0 Data item Availability,Data item Availability,Australia (UR),Yes
0 Data item Availability,Data item Availability,Australian Defence Force Service,No
0 Data item Availability,Data item Availability,Australian Drainage Divisions (EN),Yes
0 Data item Availability,Data item Availability,Australian Drainage Divisions (UR),Yes
0 Data item Availability,Data item Availability,BEDD Number of Bedrooms in Private Dwelling,Yes
0 Data item Availability,Data item Availability,BEDRD Number of Bedrooms in Private Dwelling (ranges),Yes
0 Data item Availability,Data item Availability,BPFP Country of Birth of Mother,Yes
0 Data item Availability,Data item Availability,BPLP Country of Birth of Person,Yes
0 Data item Availability,Data item Availability,BPMP Country of Birth of Father,Yes
0 Data item Availability,Data item Availability,BPPP Country of Birth of Parents,Yes
0 Data item Availability,Data item Availability,C3SP Attainment of Certificate III or higher or Working Towards a Non-School Qualification,No
0 Data item Availability,Data item Availability,CACF Count of All Children in Family,Yes
0 Data item Availability,Data item Availability,CALTHD Count of Adults (15 years and over) with Selected Long-term Health Condition(s) in Household,Yes
0 Data item Availability,Data item Availability,CCLTHD Count of Children with Selected Long-term Health Condition(s) in Household,Yes
0 Data item Availability,Data item Availability,CDCAF Count of Dependent Children Under 15 in Family Temporarily Absent,Yes
0 Data item Availability,Data item Availability,CDCF Count of Dependent Children in Family,Yes
0 Data item Availability,Data item Availability,CDCUF Count of Dependent Children Under 15 in Family,Yes
0 Data item Availability,Data item Availability,CDPP Community Development Program Participation,No
0 Data item Availability,Data item Availability,CDSAF Count of Dependent Students (15-24 years) in Family Temporarily Absent,Yes
0 Data item Availability,Data item Availability,CDSF Count of Dependent Students (15-24 years) in Family,Yes
0 Data item Availability,Data item Availability,CHCAREP Unpaid Child Care,Yes
0 Data item Availability,Data item Availability,CITP Australian Citizenship,Yes
0 Data item Availability,Data item Availability,CLTHP Count of Selected Long-term Health Conditions,Yes
0 Data item Availability,Data item Availability,CNDAF Count of Non-Dependent Children in Family Temporarily Absent,Yes
0 Data item Availability,Data item Availability,CNDCF Count of Non-Dependent Children in Family,Yes
0 Data item Availability,Data item Availability,COARASP Whether has Arthritis and Asthma,Yes
0 Data item Availability,Data item Availability,COARDBP Whether has Arthritis and Diabetes,Yes
0 Data item Availability,Data item Availability,COARHDP Whether has Arthritis and Heart Disease,Yes
0 Data item Availability,Data item Availability,COARMHP Whether has Arthritis and Mental Health Condition,Yes
0 Data item Availability,Data item Availability,COASHDP Whether has Asthma and Heart Disease,Yes
0 Data item Availability,Data item Availability,COASLCP Whether has Asthma and Lung Condition,Yes
0 Data item Availability,Data item Availability,COCNHDP Whether has Cancer and Heart Disease,Yes
0 Data item Availability,Data item Availability,CODBHDP Whether has Diabetes and Heart Disease,Yes
0 Data item Availability,Data item Availability,CODBKDP Whether has Diabetes and Kidney Disease,Yes
0 Data item Availability,Data item Availability,COHDKDP Whether has Heart Disease and Kidney Disease,Yes
0 Data item Availability,Data item Availability,COHDMHP Whether has Heart Disease and Mental Health Condition,Yes
0 Data item Availability,Data item Availability,COLCMHP Whether has Lung Condition and Mental Health Condition,Yes
0 Data item Availability,Data item Availability,CPAD Count of Persons Temporarily Absent from Household,Yes
0 Data item Availability,Data item Availability,CPAF Count of Persons Temporarily Absent from Family,Yes
0 Data item Availability,Data item Availability,CPLTHD Count of Persons with Selected Long-term Health Condition(s) in Household,Yes
0 Data item Availability,Data item Availability,CPLTHRD Count of Persons with Selected Long-term Health Condition(s) in Household (ranges),Yes
0 Data item Availability,Data item Availability,CPRF Count of Persons in Family,Yes
0 Data item Availability,Data item Availability,CTGP Child Type (including grandchildren),Yes
0 Data item Availability,Data item Availability,CTPP Child Type,Yes
0 Data item Availability,Data item Availability,Commonwealth Electoral Divisions (2021 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,Commonwealth Electoral Divisions (2021 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,Commonwealth Electoral Divisions (2024 Boundaries) (EN) - See note ->,No
0 Data item Availability,Data item Availability,Commonwealth Electoral Divisions (2024 Boundaries) (UR) - See note ->,No
0 Data item Availability,Data item Availability,Cultural Diversity,No
0 Data item Availability,Data item Availability,DLOD Dwelling Location,Yes
0 Data item Availability,Data item Availability,DOMP Unpaid Domestic Work: Number of Hours,Yes
0 Data item Availability,Data item Availability,DTWP Distance to Work (ranges),No
